,SKM_old_train_01.xml,SKM_old_train_02.xml,SKM_old_train_03.xml,SKM_old_train_04.xml,SKM_old_train_05.xml,SKM_old_train_06.xml,SKM_old_train_07.xml,SKM_old_train_08.xml,SKM_old_train_09.xml,SKM_old_train_10.xml,SKM_old_train_11.xml,SKM_old_train_12.xml,SKM_old_untr_01.xml,SKM_old_untr_02.xml,SKM_old_untr_03.xml,SKM_old_untr_04.xml,SKM_old_untr_05.xml,SKM_old_untr_06.xml,SKM_old_untr_07.xml,SKM_old_untr_08.xml,SKM_old_untr_09.xml,SKM_old_untr_10.xml,SKM_old_untr_11.xml,SKM_old_untr_12.xml
2OXOADOXm,0.0,0.0,0.0,-4.930380657631324e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0729633752516645e-13,0.0,0.0,21.198255792333832,8.732612679424808
34HPLFM,0.0,1.092341083550272,0.0,0.0,0.0,0.3218117957554835,0.0,0.0,0.0,-1.1572889752862264e-15,1.1186848111757777,0.0,4.310377107918566e-05,0.0,0.0,0.0,2.8271722385957245,0.0,0.0,0.0,4.560688497471056,0.0,5.921189464667484e-16,2.9629216026180307
34HPPOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8230105156341476e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.700866014406109,2.3482485274153033
3AIBTm,0.0,0.0,0.0,0.0,0.0,12.110081033591637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3DPHBH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.038102117066222e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.560688497471056,0.0,5.921189464667484e-16,2.9629216026180307
3DPHBH2,0.0,1.092341083550272,0.0,0.0,0.0,0.3218117957554835,0.0,5.2355985634709426e-14,0.0,0.0,1.1186848111757777,0.0,4.310377107918567e-05,0.0,0.0,0.0,2.8271722385957245,0.0,0.0,-3.9502932662351146e-17,0.0,0.0,0.0,0.0
3HBCOAHLm,0.0,0.0,0.0,0.0,0.0,0.0,34.457127740007216,0.0,0.0,0.0,0.0,0.0,0.0,10.835679200610011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3SALATAi,3.755588156373016,0.0,3.755915819152151,3.755915819152151,-5.786413366805146e-15,3.75591581915215,3.7559158191521496,0.0,0.0,0.0,0.7263698224070446,3.755915819152202,0.0,3.7559158191521624,3.75591581915215,3.755915819152127,3.75591581915215,-4.440892098500626e-16,0.0,0.0,0.0,0.0,0.0,3.7559158191521296
3SALATAim,0.0,0.0,0.0,0.0,5.786413366805146e-15,0.0,0.0,3.7559158191520514,3.75591581915215,3.7559158191521305,-1.0946965316371657e-16,0.0,3.755915819152151,0.0,0.0,0.0,0.0,3.755915819152148,0.0,0.0,9.547559915054966e-14,1.8788747755029316,3.7559158191521536,0.0
3SPYRSP,3.755588156373016,0.0,3.755915819152151,3.755915819152151,-5.786413366805146e-15,3.75591581915215,3.7559158191521496,0.0,0.0,0.0,0.7263698224070446,3.755915819152202,0.0,3.7559158191521624,3.75591581915215,3.755915819152127,3.75591581915215,0.0,0.0,0.0,0.0,0.0,0.0,3.7559158191521296
3SPYRSPm,0.0,0.0,0.0,0.0,5.786413366805146e-15,0.0,0.0,3.7559158191520514,3.75591581915215,3.7559158191521305,-1.0946965316371657e-16,0.0,3.755915819152151,0.0,0.0,0.0,0.0,3.755915819152148,0.0,0.0,9.547559915054966e-14,1.8788747755029316,3.7559158191521536,0.0
4HBZCOAFm,0.0,1.092341083550272,0.0,0.0,0.0,0.3218117957554835,0.0,5.2355985634709426e-14,-6.038102117066222e-14,0.0,1.1186848111757777,0.0,4.310377107918566e-05,0.0,0.0,0.0,2.8271722385957245,0.0,0.0,-3.9502932662351146e-17,4.560688497471056,0.0,5.921189464667484e-16,2.9629216026180307
4HBZFm,0.0,1.092341083550272,0.0,0.0,0.0,0.3218117957554835,0.0,5.2355985634709426e-14,-6.038102117066222e-14,0.0,1.1186848111757777,0.0,4.310377107918566e-05,0.0,0.0,0.0,2.8271722385957245,0.0,0.0,-3.9502932662351146e-17,4.560688497471056,0.0,5.921189464667484e-16,2.9629216026180307
A_MANASEly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.209502792867998e-16,-2.6021453470832056e-31,0.048566935476840684,6.061299841147783e-18,0.0,-2.761356411511803e-16,0.0,0.0,0.0,-2.9605947323337506e-16,0.0,1.4809524362910584,1.2028881258799704e-14,-1.3493106296319939e-14,0.0,1.151098105667092,0.0
AACOAT,0.0,0.0,0.0,0.0,0.0,0.0,6.5323780810078365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.377705074975926,0.0,0.0,0.0,0.0,0.0,10.568214880100307,0.0,0.0,0.0
