,L_MODEL1707110525,L_MODEL1707110526,L_MODEL1707110527,L_MODEL1707110528,L_MODEL1707110529,L_MODEL1707110530,L_MODEL1707110531,L_MODEL1707110532,L_MODEL1707110533,L_MODEL1707110534,L_MODEL1707110535,L_MODEL1707110536,L_MODEL1707110537,L_MODEL1707110538,L_MODEL1707110539,L_MODEL1707110540,L_MODEL1707110541,L_MODEL1707110542,L_MODEL1707110543,L_MODEL1707110688,L_MODEL1707110791,L_MODEL1707110975,L_MODEL1707111000,L_MODEL1707111001,L_MODEL1707111002,L_MODEL1707112651,L_MODEL1707112652,L_MODEL1707112653,L_MODEL1707112654,L_MODEL1707112655,L_MODEL1707112656,L_MODEL1707112657,L_MODEL1707112658,L_MODEL1707112659,L_MODEL1707112660,L_MODEL1707112661,L_MODEL1707112662,L_MODEL1707112663,L_MODEL1707112664,L_MODEL1707112665,L_MODEL1707112666,L_MODEL1707112667,L_MODEL1707112668,L_MODEL1707112669,L_MODEL1707112670,L_MODEL1707112671,L_MODEL1707112672,L_MODEL1707112673,L_MODEL1707112674,L_MODEL1707113217,S_MODEL1707112675,S_MODEL1707112676,S_MODEL1707112677,S_MODEL1707112678,S_MODEL1707112679,S_MODEL1707112680,S_MODEL1707112681,S_MODEL1707112682,S_MODEL1707112683,S_MODEL1707112684,S_MODEL1707112685,S_MODEL1707112686,S_MODEL1707112687,S_MODEL1707112688,S_MODEL1707112689,S_MODEL1707112690,S_MODEL1707112691,S_MODEL1707112692,S_MODEL1707113891,S_MODEL1707114025,S_MODEL1707114026,S_MODEL1707114027,S_MODEL1707114599,S_MODEL1707114600,S_MODEL1707114601,S_MODEL1707114602,S_MODEL1707114603,S_MODEL1707114604,S_MODEL1707114605,S_MODEL1707114606,S_MODEL1707114607,S_MODEL1707114608,S_MODEL1707114609,S_MODEL1707114610,S_MODEL1707114611,S_MODEL1707114612,S_MODEL1707114613,S_MODEL1707114614,S_MODEL1707114615,S_MODEL1707114616,S_MODEL1707114617,S_MODEL1707114618,S_MODEL1707114619,S_MODEL1707114620,S_MODEL1707114621,S_MODEL1707114622,S_MODEL1707114623,S_MODEL1707114624,S_MODEL1707114625,S_MODEL1707114626
HMR_3905,0.0,170.50281397529224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875206343330613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR_3907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.09159491299016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR_4097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0644990770406,0.0,58.34160778695455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0259256608895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.28276257952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR_4099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.056486848707095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.240744898679768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.003601009982709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR_4108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.15046210268758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.9286195791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.1763604347679,176.2259143431501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR_4133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.15046210268758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.9286195791239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.1763604347679,176.2259143431501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMR_4137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.21053946647228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.21900025022867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.19876581842009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.34940178833817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.2223390575252,0.0,48.115888985993685,0.0,0.0,4.398678174636248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939974880673672,0.0,0.0,0.0,42.71455620370166,0.0,0.0,0.0,0.0,0.0
HMR_4388,0.0,0.0,0.0,-75.23384219734794,-41.145113978542575,0.0,430.6716661529351,-440.98586319157675,872.6443793326271,7.209835287242168,-164.25682973244494,-757.9401810448753,0.0,827.210682813328,0.8124549936098902,9.351587476382175,0.0,-425.1172395780154,0.0,-189.22452601153282,-769.8343155449118,0.0,-632.2913548429474,-12.693309956978496,0.0,-872.9213624264133,-783.4570995937255,0.0,0.0,-210.19684902389696,75.3696698687744,131.86087775182727,-174.56337871401067,0.0,-9.096438127583443,-58.13228749139565,37.10645613572789,0.0,-619.5188334086064,0.0,-143.813034825594,0.0,-684.2943297015295,94.99976071981015,0.0,0.0,0.0,-353.65989445435093,0.0,-97.33962244383792,44.87927279956652,0.0,-41.22168217157459,750.447460604487,88.4819961602781,0.0,-132.3015508239065,0.0,0.0,-77.23227023737365,1000.0,0.0,0.0,0.0,119.00890152535271,1.2789769243681803e-13,0.0,0.0,981.927553857838,84.51792068686689,-0.028055865089043237,-171.55413760216686,0.0,-28.40537351291958,0.0,0.0,208.49232906981717,0.0,-362.4520264370715,227.29647961085786,22.30417009069913,634.0999804286278,0.0,0.0,9.221640664211128,0.0,167.60932385228062,0.0,0.0,262.4130803274616,-206.62038857768314,-6.118290341113493,0.0,-515.9230087929432,122.97962655012255,0.0,0.0,0.0,96.34199431150265,275.79744840307364
HMR_4283,-3.3222421501320407,0.0,79.07325328742546,-937.677432598079,0.0,-271.614763329428,-6.329208673227822,-788.328872337644,0.0,-999.9999999999986,-506.2417272027292,0.0,615.9905261278466,598.594279674793,0.0,91.77419655325194,0.0,-201.01318831904632,-181.741482177624,0.8162782390139682,-997.9651920703594,0.0,-1000.0,-391.6525818622971,-1000.0,-396.62785730586586,-1000.0,0.0,-173.69910598191643,-63.12257541893761,-6.0648,-54.44212711027283,0.0,-890.5463621730518,-171.79445359115851,0.0,-501.02781105499685,0.0,-748.6661480527766,9.507387064982451,-666.0313878731797,0.0,0.0,0.0,0.0,-7.820999999999998,0.0,-1000.0,-96.19944727509484,15.795850705823781,263.895638756839,0.0,-672.6661436381877,-164.5536339767424,631.4538173507874,0.0,1.727965541972788e-12,-121.76681587568245,0.0,0.0,996.7816635898905,-3.907985046680551e-14,0.0,-158.9752992482144,-186.52377217758865,-202.8277221333584,-471.00529189673625,0.0,225.91871080471716,-599.3074011572595,-696.0778734201136,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.717047816435326,-120.92875297567647,531.2391832419711,683.7267063838026,-214.90527929275993,0.0,-347.9187411648229,-2.370767378398178,-373.67302869337686,-344.37189956728804,-1000.0,0.0,0.0,-62.67159562431444,-810.3516500876594,0.0,15.010292593156842,-2.2742999999999998,0.0,0.0,218.35228194467913,-1000.0
HMR_8357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.69543359698513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.663750964002297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.3443003712861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
