,Name,Pathway,Untrained,Trained
34DHPHAMT,"3,4-Dihydroxyphenylacetate:amet O-methyltransferase",Tyrosine metabolism,1,0
34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",Tyrosine metabolism,1,0
34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase",Tyrosine metabolism,1,0
APOCF,Apocarboxylase formation,Biotin metabolism,1,0
APOCFm,"Apocarboxylase formation, mitochondrial",Biotin metabolism,1,0
APOC_LYS_BTNP,proteolysis of apoC-Lys-btn,Biotin metabolism,1,0
APOC_LYS_BTNPm,"proteolysis of apoC-Lys-btn, mitochondrial",Biotin metabolism,1,0
BAAT4x,bile acid Coenzyme A: amino acid N-acyltransferase,Bile acid synthesis,1,0
BACCL,biotin-[acetyl-CoA-carboxylase] ligase,Biotin metabolism,1,0
BACCLm,"biotin-[acetyl-CoA-carboxylase] ligase, mitochondrial",Biotin metabolism,1,0
BTND1,biotinidase (biotin),Biotin metabolism,1,0
BTND1n,"biotinidase (biotin), nuclear",Biotin metabolism,1,0
BTNDe,"biotinidase (biotin), extracellular",Biotin metabolism,1,0
BTNDm,"biotinidase (biotin), mitochondrial",Biotin metabolism,1,0
BTNPL,holocarboxylase synthestase (biotin protein ligase),Biotin metabolism,1,0
BTNPLm,"holocarboxylase synthestase (biotin protein ligase), mitochondrial",Biotin metabolism,1,0
C3STDH1r,C-3 sterol dehydrogenase (4-methylzymosterol),Cholesterol metabolism,1,0
GTPCI,GTP cyclohydrolase I,Tetrahydrobiopterin metabolism,1,0
GTPCIn,"GTP cyclohydrolase I, nuclear",Tetrahydrobiopterin metabolism,1,0
H6MTer_U,"H6 mannosyltransferase, endoplasmic reticulum",Phosphatidylinositol phosphate metabolism,1,0
H7MTer_U,"H7 mannosyltransferase, endoplasmic reticulum",Phosphatidylinositol phosphate metabolism,1,0
HSD17B9r,17-beta-hydroxysteroid dehydrogenase (type 7),Steroid metabolism,1,0
HSD3B3r,3 beta-hydroxysteroid dehydrogenase type 1,Steroid metabolism,1,0
HSD3B7P,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",Bile acid synthesis,2,0
M4BTAer,"M4B transamidase, endoplasmic reticulum",Phosphatidylinositol phosphate metabolism,1,0
M4CET3er,"M4C phosphoethanolaminyl transferase, endoplasmic reticulum",Phosphatidylinositol phosphate metabolism,1,0
PNTEH,Hydrolase Class ( RXN R02973),CoA catabolism,1,0
THRD_L,L-threonine deaminase,"Glycine, serine, alanine and threonine metabolism",2,0
VLCS2p,Very-long-chain-fatty-acid-CoA ligase,Bile acid synthesis,4,0
