,SKM_old_train_01,SKM_old_train_02,SKM_old_train_03,SKM_old_train_04,SKM_old_train_05,SKM_old_train_06,SKM_old_train_07,SKM_old_train_08,SKM_old_train_09,SKM_old_train_10,SKM_old_train_11,SKM_old_train_12,SKM_old_untr_01,SKM_old_untr_02,SKM_old_untr_03,SKM_old_untr_04,SKM_old_untr_05,SKM_old_untr_06,SKM_old_untr_07,SKM_old_untr_08,SKM_old_untr_09,SKM_old_untr_10,SKM_old_untr_11,SKM_old_untr_12
13DAMPPOX,18.448553064422317,12.135850406959046,35.00387214469824,26.02214570990267,7.50137188478049,13.753628875845589,17.38162827006912,11.219650740559983,17.469294060587064,20.76508683272307,10.966097236165188,20.913665697881008,27.876555909004093,29.39178763826225,20.523433364824797,20.38866224151311,10.36016476320257,30.612243835565852,37.889885155977666,28.458164887912975,27.312066132743407,16.487475584334415,46.68412855048849,54.68213943513719
1a_24_25VITD2Hm,,,,,,,,,,,,,,,,,,,,,,,,
1a_24_25VITD3Hm,,,,,,,,,,,,,,,,,,,,,,,,
1a_25VITD2Hm,,,,,,,,,,,,,,,,,,,,,,,,
1a_25VITD3Hm,,,,,,,,,,,,,,,,,,,,,,,,
1PPDCRp,,,,,,,,,,,,,,,,,,,,,,,,
24_25VITD2Hm,,,,,,,,,,,,,,,,,,,,,,,,
24_25VITD3Hm,,,,,,,,,,,,,,,,,,,,,,,,
25VITD2Hm,,,,,,,,,,,,,,,,,,,,,,,,
25VITD3Hm,,,,,,,,,,,,,,,,,,,,,,,,
2AMACHYD,,,,,,,,,,,,,,,,,,,,,,,,
2AMACSULT,,,,,,,,,,,,,,,,,,,,,,,,
2DR1PP,17.66809348228245,19.21491300751867,9.954586217082282,15.342167560602363,12.38619946788261,16.503269458256852,18.219280365538562,14.116401522733296,10.148811122965318,11.047097121964038,8.341608542449695,17.92626349640431,9.81076820019474,7.691126298404641,19.12622889182447,14.848028725036995,75.68429167596291,25.690535781911287,15.08284071562838,5.403489044755361,11.648115185267327,15.81539933857898,10.279390403257754,9.673461617759228
2HBO,-6.493112702729638e-14,1.7223368044961608e-14,2.5586645024603987e-14,1.1176068563005824e-14,5.27674852085711e-15,6.6115381744328095e-15,1.2612906151832892e-15,-3.376647108704918e-14,-1.7082878328327317e-15,3.451126903899877e-15,-5.625937955364784e-15,1.2487918543391824e-13,8.464399408430081e-15,-334.82741171813694,-275.43702328132895,3.057141865181509e-15,-1.0077801381015143e-15,4.305941325313572e-15,1.8636835895318717e-13,2.3500599389791058e-14,-4.537850981416668e-14,1.5949739472771917e-13,2.3721628322469695e-16,2.333402483830332e-17
2OXOADOXm,16.754102420565797,30.945942931166734,86.96337766737864,28.745330332119476,14.730177474953788,32.671808172212025,25.695754968823618,32.719028430923075,26.553249701666033,16.040074475604122,31.951931438377024,24.182141459881237,14.224913403089413,15.566873121468054,32.146267411116185,26.365648009776017,14.777925417934421,43.46534486361494,35.59081550756279,11.211331459856865,44.439498300732524,23.449426986046685,29.646725126398998,48.184019700381754
34DHOXPEGOX,15.265022970402384,20.12641354083445,23.675322348390097,40.924559299135446,34.51433792329462,49.938504253103794,23.849596943579932,52.741119787373954,27.160338816061007,39.14796669836816,62.32014390144887,30.589133776241802,32.22652545952306,35.09766851701754,23.527360989602517,27.325615756221122,14.05693658512622,38.43388871824869,30.037836706946592,26.359731075985273,51.95716856391509,34.0105657553938,24.90887951080111,57.45723452880678
